ciudad_origen,ciudad_destino,hora_salida,hora_llegada,duracion_viaje,precio,tipo
Cáceres,Merida,2024-10-28 19:47:00,2024-10-28 20:24:00,37.0,13.35,tren
Merida,Badajoz,2024-10-28 20:29:00,2024-10-28 21:01:00,32.0,12.19,tren
Badajoz,Merida,2024-10-28 07:17:00,2024-10-28 07:47:00,30.0,11.73,tren
Merida,Cáceres,2024-10-28 07:52:00,2024-10-28 08:29:00,37.0,13.35,tren
Cáceres,Malpartida De Plasencia,2024-10-28 08:31:00,2024-10-28 09:06:00,35.0,12.89,tren
Malpartida De Plasencia,Navalmoral de la Mata,2024-10-28 09:07:00,2024-10-28 09:34:00,27.0,11.03,tren
Navalmoral de la Mata,Oropesa,2024-10-28 09:35:00,2024-10-28 09:56:00,21.0,9.64,tren
Oropesa,Talavera de la Reina,2024-10-28 09:57:00,2024-10-28 10:15:00,18.0,8.95,tren
Talavera de la Reina,Torrijos,2024-10-28 10:17:00,2024-10-28 10:42:00,25.0,10.57,tren
Torrijos,Leganés,2024-10-28 10:43:00,2024-10-28 11:22:00,39.0,13.82,tren
Leganés,Madrid,2024-10-28 11:23:00,2024-10-28 11:43:00,20.0,9.41,tren
Badajoz,Merida,2024-11-02 07:17:00,2024-11-02 07:47:00,30.0,11.73,tren
Merida,Cáceres,2024-11-02 07:52:00,2024-11-02 08:29:00,37.0,13.35,tren
Cáceres,Malpartida De Plasencia,2024-11-02 08:31:00,2024-11-02 09:06:00,35.0,12.89,tren
Malpartida De Plasencia,Navalmoral de la Mata,2024-11-02 09:07:00,2024-11-02 09:34:00,27.0,11.03,tren
Navalmoral de la Mata,Oropesa,2024-11-02 09:35:00,2024-11-02 09:56:00,21.0,9.64,tren
Oropesa,Talavera de la Reina,2024-11-02 09:57:00,2024-11-02 10:15:00,18.0,8.95,tren
Talavera de la Reina,Torrijos,2024-11-02 10:17:00,2024-11-02 10:42:00,25.0,10.57,tren
Torrijos,Leganés,2024-11-02 10:43:00,2024-11-02 11:22:00,39.0,13.82,tren
Leganés,Madrid,2024-11-02 11:23:00,2024-11-02 11:43:00,20.0,9.41,tren
Badajoz,Merida,2024-11-01 08:16:00,2024-11-01 08:47:00,31.0,11.96,tren
Merida,Cáceres,2024-11-01 08:56:00,2024-11-01 09:35:00,39.0,13.82,tren
Cáceres,Malpartida De Plasencia,2024-11-01 09:37:00,2024-11-01 10:15:00,38.0,13.59,tren
Malpartida De Plasencia,Navalmoral de la Mata,2024-11-01 10:16:00,2024-11-01 10:43:00,27.0,11.03,tren
Navalmoral de la Mata,Oropesa,2024-11-01 10:44:00,2024-11-01 11:09:00,25.0,10.57,tren
Oropesa,Talavera de la Reina,2024-11-01 11:10:00,2024-11-01 11:28:00,18.0,8.95,tren
Talavera de la Reina,Torrijos,2024-11-01 11:29:00,2024-11-01 11:54:00,25.0,10.57,tren
Torrijos,Leganés,2024-11-01 11:55:00,2024-11-01 12:40:00,45.0,15.21,tren
Leganés,Madrid,2024-11-01 12:41:00,2024-11-01 12:54:00,13.0,7.78,tren
Badajoz,Merida,2024-11-02 08:16:00,2024-11-02 08:47:00,31.0,11.96,tren
Merida,Cáceres,2024-11-02 08:56:00,2024-11-02 09:35:00,39.0,13.82,tren
Cáceres,Malpartida De Plasencia,2024-11-02 09:37:00,2024-11-02 10:15:00,38.0,13.59,tren
Malpartida De Plasencia,Navalmoral de la Mata,2024-11-02 10:16:00,2024-11-02 10:43:00,27.0,11.03,tren
Navalmoral de la Mata,Oropesa,2024-11-02 10:44:00,2024-11-02 11:09:00,25.0,10.57,tren
Oropesa,Talavera de la Reina,2024-11-02 11:10:00,2024-11-02 11:28:00,18.0,8.95,tren
Talavera de la Reina,Torrijos,2024-11-02 11:29:00,2024-11-02 11:54:00,25.0,10.57,tren
Torrijos,Leganés,2024-11-02 11:55:00,2024-11-02 12:40:00,45.0,15.21,tren
Leganés,Madrid,2024-11-02 12:41:00,2024-11-02 12:54:00,13.0,7.78,tren
Madrid,Alcázar de San Juan,2024-10-28 08:20:00,2024-10-28 09:42:00,82.0,23.8,tren
Alcázar de San Juan,Linares,2024-10-28 09:43:00,2024-10-28 11:19:00,96.0,27.05,tren
Linares,Úbeda,2024-10-28 11:21:00,2024-10-28 11:46:00,25.0,10.57,tren
Úbeda,Cabra del Santo Cristo,2024-10-28 11:47:00,2024-10-28 12:25:00,38.0,13.59,tren
Cabra del Santo Cristo,Guadix,2024-10-28 12:26:00,2024-10-28 13:13:00,47.0,15.68,tren
Guadix,Almeria,2024-10-28 13:14:00,2024-10-28 14:57:00,103.0,28.67,tren
Madrid,Alcázar de San Juan,2024-11-01 07:43:00,2024-11-01 09:42:00,119.0,32.38,tren
Alcázar de San Juan,Linares,2024-11-01 09:43:00,2024-11-01 11:19:00,96.0,27.05,tren
Linares,Úbeda,2024-11-01 11:21:00,2024-11-01 11:46:00,25.0,10.57,tren
Úbeda,Cabra del Santo Cristo,2024-11-01 11:47:00,2024-11-01 12:25:00,38.0,13.59,tren
Cabra del Santo Cristo,Guadix,2024-11-01 12:26:00,2024-11-01 13:13:00,47.0,15.68,tren
Guadix,Almeria,2024-11-01 13:14:00,2024-11-01 14:57:00,103.0,28.67,tren
Madrid,Alcázar de San Juan,2024-11-05 08:20:00,2024-11-05 09:42:00,82.0,23.8,tren
Alcázar de San Juan,Linares,2024-11-05 09:43:00,2024-11-05 11:19:00,96.0,27.05,tren
Linares,Úbeda,2024-11-05 11:21:00,2024-11-05 11:46:00,25.0,10.57,tren
Úbeda,Cabra del Santo Cristo,2024-11-05 11:47:00,2024-11-05 12:25:00,38.0,13.59,tren
Cabra del Santo Cristo,Guadix,2024-11-05 12:26:00,2024-11-05 13:13:00,47.0,15.68,tren
Guadix,Almeria,2024-11-05 13:14:00,2024-11-05 14:57:00,103.0,28.67,tren
Madrid,Alcázar de San Juan,2024-12-08 08:20:00,2024-12-08 09:42:00,82.0,23.8,tren
Alcázar de San Juan,Linares,2024-12-08 09:43:00,2024-12-08 11:19:00,96.0,27.05,tren
Linares,Úbeda,2024-12-08 11:21:00,2024-12-08 11:46:00,25.0,10.57,tren
Úbeda,Cabra del Santo Cristo,2024-12-08 11:47:00,2024-12-08 12:25:00,38.0,13.59,tren
Cabra del Santo Cristo,Guadix,2024-12-08 12:26:00,2024-12-08 13:13:00,47.0,15.68,tren
Guadix,Almeria,2024-12-08 13:14:00,2024-12-08 14:57:00,103.0,28.67,tren
Madrid,Alcázar de San Juan,2024-12-15 08:20:00,2024-12-15 09:42:00,82.0,23.8,tren
Alcázar de San Juan,Vilches,2024-12-15 09:43:00,2024-12-15 11:01:00,78.0,22.87,tren
Vilches,Linares,2024-12-15 11:02:00,2024-12-15 11:19:00,17.0,8.71,tren
Linares,Úbeda,2024-12-15 11:21:00,2024-12-15 11:46:00,25.0,10.57,tren
Úbeda,Cabra del Santo Cristo,2024-12-15 11:47:00,2024-12-15 12:25:00,38.0,13.59,tren
Cabra del Santo Cristo,Guadix,2024-12-15 12:26:00,2024-12-15 13:13:00,47.0,15.68,tren
Guadix,Almeria,2024-12-15 13:14:00,2024-12-15 14:55:00,101.0,28.21,tren
Almeria,Gádor,2024-10-28 07:02:00,2024-10-28 07:46:00,44.0,14.98,tren
Gádor,Fiñana,2024-10-28 07:47:00,2024-10-28 08:27:00,40.0,14.05,tren
Fiñana,Guadix,2024-10-28 08:28:00,2024-10-28 08:47:00,19.0,9.18,tren
Guadix,Morelábor,2024-10-28 08:49:00,2024-10-28 09:09:00,20.0,9.41,tren
Morelábor,Cabra del Santo Cristo,2024-10-28 09:10:00,2024-10-28 09:36:00,26.0,10.8,tren
Cabra del Santo Cristo,Úbeda,2024-10-28 09:37:00,2024-10-28 10:15:00,38.0,13.59,tren
Úbeda,Linares,2024-10-28 10:16:00,2024-10-28 10:41:00,25.0,10.57,tren
Linares,Alcázar de San Juan,2024-10-28 10:43:00,2024-10-28 12:23:00,100.0,27.97,tren
Alcázar de San Juan,Madrid,2024-10-28 12:24:00,2024-10-28 13:44:00,80.0,23.33,tren
Almeria,Gádor,2024-11-01 07:02:00,2024-11-01 07:46:00,44.0,14.98,tren
Gádor,Fiñana,2024-11-01 07:47:00,2024-11-01 08:27:00,40.0,14.05,tren
Fiñana,Guadix,2024-11-01 08:28:00,2024-11-01 08:47:00,19.0,9.18,tren
Guadix,Morelábor,2024-11-01 08:49:00,2024-11-01 09:09:00,20.0,9.41,tren
Morelábor,Cabra del Santo Cristo,2024-11-01 09:10:00,2024-11-01 09:36:00,26.0,10.8,tren
Cabra del Santo Cristo,Úbeda,2024-11-01 09:37:00,2024-11-01 10:15:00,38.0,13.59,tren
Úbeda,Linares,2024-11-01 10:16:00,2024-11-01 10:41:00,25.0,10.57,tren
Linares,Alcázar de San Juan,2024-11-01 10:43:00,2024-11-01 12:23:00,100.0,27.97,tren
Alcázar de San Juan,Madrid,2024-11-01 12:24:00,2024-11-01 14:24:00,120.0,32.62,tren
Almeria,Gádor,2024-11-04 07:02:00,2024-11-04 07:46:00,44.0,14.98,tren
Gádor,Fiñana,2024-11-04 07:47:00,2024-11-04 08:27:00,40.0,14.05,tren
Fiñana,Guadix,2024-11-04 08:28:00,2024-11-04 08:47:00,19.0,9.18,tren
Guadix,Morelábor,2024-11-04 08:49:00,2024-11-04 09:09:00,20.0,9.41,tren
Morelábor,Cabra del Santo Cristo,2024-11-04 09:10:00,2024-11-04 09:36:00,26.0,10.8,tren
Cabra del Santo Cristo,Úbeda,2024-11-04 09:37:00,2024-11-04 10:15:00,38.0,13.59,tren
Úbeda,Linares,2024-11-04 10:16:00,2024-11-04 10:41:00,25.0,10.57,tren
Linares,Alcázar de San Juan,2024-11-04 10:43:00,2024-11-04 12:23:00,100.0,27.97,tren
Alcázar de San Juan,Madrid,2024-11-04 12:24:00,2024-11-04 13:44:00,80.0,23.33,tren
Almeria,Gádor,2024-12-08 07:02:00,2024-12-08 07:46:00,44.0,14.98,tren
Gádor,Fiñana,2024-12-08 07:47:00,2024-12-08 08:27:00,40.0,14.05,tren
Fiñana,Guadix,2024-12-08 08:28:00,2024-12-08 08:47:00,19.0,9.18,tren
Guadix,Morelábor,2024-12-08 08:49:00,2024-12-08 09:09:00,20.0,9.41,tren
Morelábor,Cabra del Santo Cristo,2024-12-08 09:10:00,2024-12-08 09:36:00,26.0,10.8,tren
Cabra del Santo Cristo,Úbeda,2024-12-08 09:37:00,2024-12-08 10:15:00,38.0,13.59,tren
Úbeda,Linares,2024-12-08 10:16:00,2024-12-08 10:41:00,25.0,10.57,tren
Linares,Alcázar de San Juan,2024-12-08 10:43:00,2024-12-08 12:23:00,100.0,27.97,tren
Alcázar de San Juan,Madrid,2024-12-08 12:24:00,2024-12-08 13:44:00,80.0,23.33,tren
Almeria,Guadix,2024-12-15 15:30:00,2024-12-15 17:16:00,106.0,29.37,tren
Guadix,Cabra del Santo Cristo,2024-12-15 17:17:00,2024-12-15 18:03:00,46.0,15.44,tren
Cabra del Santo Cristo,Úbeda,2024-12-15 18:04:00,2024-12-15 18:42:00,38.0,13.59,tren
Úbeda,Linares,2024-12-15 18:43:00,2024-12-15 19:08:00,25.0,10.57,tren
Linares,Vilches,2024-12-15 19:10:00,2024-12-15 19:25:00,15.0,8.25,tren
Vilches,Alcázar de San Juan,2024-12-15 19:26:00,2024-12-15 21:01:00,95.0,26.81,tren
Alcázar de San Juan,Madrid,2024-12-15 21:02:00,2024-12-15 22:26:00,84.0,24.26,tren
Miranda de Ebro,Plaza,2024-10-28 16:25:00,2024-10-28 17:47:00,82.0,23.8,tren
Plaza,Bilbao,2024-10-28 17:48:00,2024-10-28 18:15:00,27.0,11.03,tren
Miranda de Ebro,Plaza,2024-12-08 16:25:00,2024-12-08 17:47:00,82.0,23.8,tren
Plaza,Bilbao,2024-12-08 17:48:00,2024-12-08 18:15:00,27.0,11.03,tren
Miranda de Ebro,Plaza,2024-12-15 16:25:00,2024-12-15 17:47:00,82.0,23.8,tren
Plaza,Bilbao,2024-12-15 17:48:00,2024-12-15 18:15:00,27.0,11.03,tren
San Sebastián,Zumarraga,2024-10-28 11:30:00,2024-10-28 12:13:00,43.0,14.75,tren
Zumarraga,Altsasu/Alsasua,2024-10-28 12:15:00,2024-10-28 12:43:00,28.0,11.27,tren
Altsasu/Alsasua,Vitoria-Gasteiz,2024-10-28 12:45:00,2024-10-28 13:35:00,50.0,16.37,tren
San Sebastián,Zumarraga,2024-12-08 11:30:00,2024-12-08 12:13:00,43.0,14.75,tren
Zumarraga,Altsasu/Alsasua,2024-12-08 12:15:00,2024-12-08 12:43:00,28.0,11.27,tren
Altsasu/Alsasua,Vitoria-Gasteiz,2024-12-08 12:45:00,2024-12-08 13:35:00,50.0,16.37,tren
San Sebastián,Zumarraga,2024-12-15 11:30:00,2024-12-15 12:13:00,43.0,14.75,tren
Zumarraga,Altsasu/Alsasua,2024-12-15 12:15:00,2024-12-15 12:43:00,28.0,11.27,tren
Altsasu/Alsasua,Vitoria-Gasteiz,2024-12-15 12:45:00,2024-12-15 13:35:00,50.0,16.37,tren
Vitoria-Gasteiz,Altsasu/Alsasua,2024-10-28 16:45:00,2024-10-28 17:23:00,38.0,13.59,tren
Altsasu/Alsasua,Zumarraga,2024-10-28 17:25:00,2024-10-28 17:53:00,28.0,11.27,tren
Zumarraga,San Sebastián,2024-10-28 17:55:00,2024-10-28 18:50:00,55.0,17.53,tren
Vitoria-Gasteiz,Altsasu/Alsasua,2024-12-08 16:45:00,2024-12-08 17:23:00,38.0,13.59,tren
Altsasu/Alsasua,Zumarraga,2024-12-08 17:25:00,2024-12-08 17:53:00,28.0,11.27,tren
Zumarraga,San Sebastián,2024-12-08 17:55:00,2024-12-08 18:50:00,55.0,17.53,tren
Vitoria-Gasteiz,Altsasu/Alsasua,2024-12-15 16:45:00,2024-12-15 17:23:00,38.0,13.59,tren
Altsasu/Alsasua,Zumarraga,2024-12-15 17:25:00,2024-12-15 17:53:00,28.0,11.27,tren
Zumarraga,San Sebastián,2024-12-15 17:55:00,2024-12-15 18:50:00,55.0,17.53,tren
Bilbao,Plaza,2024-10-28 12:15:00,2024-10-28 12:42:00,27.0,11.03,tren
Plaza,Miranda de Ebro,2024-10-28 12:43:00,2024-10-28 13:58:00,75.0,22.17,tren
Bilbao,Plaza,2024-12-08 12:15:00,2024-12-08 12:42:00,27.0,11.03,tren
Plaza,Miranda de Ebro,2024-12-08 12:43:00,2024-12-08 13:58:00,75.0,22.17,tren
Bilbao,Plaza,2024-12-15 12:15:00,2024-12-15 12:42:00,27.0,11.03,tren
Plaza,Miranda de Ebro,2024-12-15 12:43:00,2024-12-15 13:58:00,75.0,22.17,tren
Vigo,Valença,2024-10-28 08:58:00,2024-10-28 09:35:00,37.0,13.35,tren
Valença,Viana do Castelo,2024-10-28 09:36:00,2024-10-28 10:08:00,32.0,12.19,tren
Viana do Castelo,Vila Nova de Famalicão,2024-10-28 10:17:00,2024-10-28 10:50:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-10-28 10:51:00,2024-10-28 11:20:00,29.0,11.5,tren
Vigo,Valença,2024-12-15 08:58:00,2024-12-15 09:35:00,37.0,13.35,tren
Valença,Viana do Castelo,2024-12-15 09:36:00,2024-12-15 10:08:00,32.0,12.19,tren
Viana do Castelo,Vila Nova de Famalicão,2024-12-15 10:17:00,2024-12-15 10:50:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-12-15 10:51:00,2024-12-15 11:20:00,29.0,11.5,tren
Vigo,Valença,2024-12-26 08:58:00,2024-12-26 09:35:00,37.0,13.35,tren
Valença,Viana do Castelo,2024-12-26 09:36:00,2024-12-26 10:08:00,32.0,12.19,tren
Viana do Castelo,Vila Nova de Famalicão,2024-12-26 10:17:00,2024-12-26 10:50:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-12-26 10:51:00,2024-12-26 11:20:00,29.0,11.5,tren
Porto,Vila Nova de Famalicão,2024-10-28 09:13:00,2024-10-28 09:43:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-10-28 09:43:00,2024-10-28 10:15:00,32.0,12.19,tren
Viana do Castelo,Valença,2024-10-28 10:17:00,2024-10-28 10:50:00,33.0,12.43,tren
Valença,Vigo,2024-10-28 10:56:00,2024-10-28 11:35:00,39.0,13.82,tren
Porto,Vila Nova de Famalicão,2024-12-15 09:13:00,2024-12-15 09:43:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-12-15 09:43:00,2024-12-15 10:15:00,32.0,12.19,tren
Viana do Castelo,Valença,2024-12-15 10:17:00,2024-12-15 10:50:00,33.0,12.43,tren
Valença,Vigo,2024-12-15 10:56:00,2024-12-15 11:35:00,39.0,13.82,tren
Porto,Vila Nova de Famalicão,2024-12-26 09:13:00,2024-12-26 09:43:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-12-26 09:43:00,2024-12-26 10:15:00,32.0,12.19,tren
Viana do Castelo,Valença,2024-12-26 10:17:00,2024-12-26 10:50:00,33.0,12.43,tren
Valença,Vigo,2024-12-26 10:56:00,2024-12-26 11:35:00,39.0,13.82,tren
Vigo,Valença,2024-10-28 19:56:00,2024-10-28 20:32:00,36.0,13.12,tren
Valença,Viana do Castelo,2024-10-28 20:33:00,2024-10-28 21:07:00,34.0,12.66,tren
Viana do Castelo,Vila Nova de Famalicão,2024-10-28 21:14:00,2024-10-28 21:47:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-10-28 21:48:00,2024-10-28 22:18:00,30.0,11.73,tren
Vigo,Valença,2024-12-15 19:56:00,2024-12-15 20:32:00,36.0,13.12,tren
Valença,Viana do Castelo,2024-12-15 20:33:00,2024-12-15 21:06:00,33.0,12.43,tren
Viana do Castelo,Vila Nova de Famalicão,2024-12-15 21:14:00,2024-12-15 21:47:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-12-15 21:48:00,2024-12-15 22:18:00,30.0,11.73,tren
Vigo,Valença,2024-12-25 19:56:00,2024-12-25 20:32:00,36.0,13.12,tren
Valença,Viana do Castelo,2024-12-25 20:33:00,2024-12-25 21:06:00,33.0,12.43,tren
Viana do Castelo,Vila Nova de Famalicão,2024-12-25 21:14:00,2024-12-25 21:47:00,33.0,12.43,tren
Vila Nova de Famalicão,Porto,2024-12-25 21:48:00,2024-12-25 22:18:00,30.0,11.73,tren
Porto,Vila Nova de Famalicão,2024-10-28 20:10:00,2024-10-28 20:40:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-10-28 20:40:00,2024-10-28 21:13:00,33.0,12.43,tren
Viana do Castelo,Valença,2024-10-28 21:14:00,2024-10-28 21:47:00,33.0,12.43,tren
Valença,Vigo,2024-10-28 21:50:00,2024-10-28 22:34:00,44.0,14.98,tren
Porto,Vila Nova de Famalicão,2024-12-15 20:10:00,2024-12-15 20:40:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-12-15 20:40:00,2024-12-15 21:13:00,33.0,12.43,tren
Viana do Castelo,Valença,2024-12-15 21:14:00,2024-12-15 21:47:00,33.0,12.43,tren
Valença,Vigo,2024-12-15 21:49:00,2024-12-15 22:34:00,45.0,15.21,tren
Porto,Vila Nova de Famalicão,2024-12-25 20:10:00,2024-12-25 20:40:00,30.0,11.73,tren
Vila Nova de Famalicão,Viana do Castelo,2024-12-25 20:40:00,2024-12-25 21:13:00,33.0,12.43,tren
Viana do Castelo,Valença,2024-12-25 21:14:00,2024-12-25 21:47:00,33.0,12.43,tren
Valença,Vigo,2024-12-25 21:49:00,2024-12-25 22:34:00,45.0,15.21,tren
Bilbao,Miranda de Ebro,2024-10-28 15:20:00,2024-10-28 16:50:00,90.0,25.65,tren
Miranda de Ebro,Haro,2024-10-28 16:52:00,2024-10-28 17:10:00,18.0,8.95,tren
Haro,Logroño,2024-10-28 17:11:00,2024-10-28 17:51:00,40.0,14.05,tren
Logroño,Calahorra,2024-10-28 17:53:00,2024-10-28 18:24:00,31.0,11.96,tren
Calahorra,Castejón,2024-10-28 18:25:00,2024-10-28 18:44:00,19.0,9.18,tren
Castejón,Tudela,2024-10-28 18:54:00,2024-10-28 19:07:00,13.0,7.78,tren
Tudela,Zaragoza,2024-10-28 19:08:00,2024-10-28 19:49:00,41.0,14.28,tren
Zaragoza,Lérida,2024-10-28 19:52:00,2024-10-28 20:56:00,64.0,19.62,tren
Lérida,la Secuita,2024-10-28 20:58:00,2024-10-28 21:30:00,32.0,12.19,tren
la Secuita,Barcelona,2024-10-28 21:32:00,2024-10-28 22:20:00,48.0,15.91,tren
Bilbao,Miranda de Ebro,2024-12-08 15:20:00,2024-12-08 16:50:00,90.0,25.65,tren
Miranda de Ebro,Haro,2024-12-08 16:52:00,2024-12-08 17:10:00,18.0,8.95,tren
Haro,Logroño,2024-12-08 17:11:00,2024-12-08 17:51:00,40.0,14.05,tren
Logroño,Calahorra,2024-12-08 17:53:00,2024-12-08 18:24:00,31.0,11.96,tren
Calahorra,Castejón,2024-12-08 18:25:00,2024-12-08 18:44:00,19.0,9.18,tren
Castejón,Tudela,2024-12-08 18:54:00,2024-12-08 19:07:00,13.0,7.78,tren
Tudela,Zaragoza,2024-12-08 19:08:00,2024-12-08 19:49:00,41.0,14.28,tren
Zaragoza,Lérida,2024-12-08 19:52:00,2024-12-08 20:56:00,64.0,19.62,tren
Lérida,la Secuita,2024-12-08 20:58:00,2024-12-08 21:30:00,32.0,12.19,tren
la Secuita,Barcelona,2024-12-08 21:32:00,2024-12-08 22:20:00,48.0,15.91,tren
Bilbao,Miranda de Ebro,2024-12-15 15:20:00,2024-12-15 16:50:00,90.0,25.65,tren
Miranda de Ebro,Haro,2024-12-15 16:52:00,2024-12-15 17:10:00,18.0,8.95,tren
Haro,Logroño,2024-12-15 17:11:00,2024-12-15 17:51:00,40.0,14.05,tren
Logroño,Calahorra,2024-12-15 17:53:00,2024-12-15 18:24:00,31.0,11.96,tren
Calahorra,Castejón,2024-12-15 18:25:00,2024-12-15 18:44:00,19.0,9.18,tren
Castejón,Tudela,2024-12-15 18:54:00,2024-12-15 19:07:00,13.0,7.78,tren
Tudela,Zaragoza,2024-12-15 19:08:00,2024-12-15 19:49:00,41.0,14.28,tren
Zaragoza,Lérida,2024-12-15 19:52:00,2024-12-15 20:56:00,64.0,19.62,tren
Lérida,la Secuita,2024-12-15 20:58:00,2024-12-15 21:30:00,32.0,12.19,tren
la Secuita,Barcelona,2024-12-15 21:32:00,2024-12-15 22:20:00,48.0,15.91,tren
Barcelona,la Secuita,2024-10-28 08:45:00,2024-10-28 09:20:00,35.0,12.89,tren
la Secuita,Lérida,2024-10-28 09:22:00,2024-10-28 09:57:00,35.0,12.89,tren
Lérida,Zaragoza,2024-10-28 09:59:00,2024-10-28 10:45:00,46.0,15.44,tren
Zaragoza,Tudela,2024-10-28 10:48:00,2024-10-28 11:33:00,45.0,15.21,tren
Tudela,Castejón,2024-10-28 11:34:00,2024-10-28 11:45:00,11.0,7.32,tren
Castejón,Calahorra,2024-10-28 12:00:00,2024-10-28 12:16:00,16.0,8.48,tren
Calahorra,Logroño,2024-10-28 12:17:00,2024-10-28 12:52:00,35.0,12.89,tren
Logroño,Haro,2024-10-28 12:53:00,2024-10-28 13:36:00,43.0,14.75,tren
Haro,Miranda de Ebro,2024-10-28 13:37:00,2024-10-28 13:51:00,14.0,8.02,tren
Miranda de Ebro,Bilbao,2024-10-28 13:54:00,2024-10-28 15:36:00,102.0,28.44,tren
Barcelona,la Secuita,2024-12-08 08:45:00,2024-12-08 09:20:00,35.0,12.89,tren
la Secuita,Lérida,2024-12-08 09:22:00,2024-12-08 09:57:00,35.0,12.89,tren
Lérida,Zaragoza,2024-12-08 09:59:00,2024-12-08 10:45:00,46.0,15.44,tren
Zaragoza,Tudela,2024-12-08 10:48:00,2024-12-08 11:33:00,45.0,15.21,tren
Tudela,Castejón,2024-12-08 11:34:00,2024-12-08 11:45:00,11.0,7.32,tren
